,Weight class,Winner,Action,Loser,Method,Round,Time,Notes
0,Lightweight,Charles Oliveira,def.,Justin Gaethje,Submission (rear-naked choke),1,3:22,[a]
1,Women's Strawweight,Carla Esparza,def.,Rose Namajunas (c),"Decision (split) (47–48, 49–46, 48–47)",5,5:00,[b]
2,Lightweight,Michael Chandler,def.,Tony Ferguson,KO (front kick),2,0:17,
3,Light Heavyweight,Ovince Saint Preux,def.,Maurício Rua,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,
4,Welterweight,Randy Brown,def.,Khaos Williams,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,
6,Welterweight,Francisco Trinaldo,def.,Danny Roberts,"Decision (unanimous) (29–28, 30–27, 30–26)",3,5:00,
7,Catchweight (146.5 lb),Macy Chiasson,def.,Norma Dumont,"Decision (split) (30–27, 28–29, 30–27)",3,5:00,
8,Flyweight,Brandon Royval,def.,Matt Schnell,Submission (guillotine choke),1,2:14,
9,Heavyweight,Blagoy Ivanov,def.,Marcos Rogério de Lima,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,
11,Welterweight,André Fialho,def.,Cameron VanCamp,KO (punch),1,2:35,
12,Women's Flyweight,Tracy Cortez,def.,Melissa Gatto,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,
13,Flyweight,C.J. Vergara,def.,Kleydson Rodrigues,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,
14,Women's Strawweight,Lupita Godinez,def.,Ariane Carnelossi,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,
15,Bantamweight,Journey Newson,def.,Fernie Garcia,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,
